Lakes_KZ,"Square, km²",Regions
Caspian Sea,371000,Atyrau|Mangistau
Balkhash,16400,"Almaty, Karaganda, Zhambyl"
Aral Sea,13900,"Kyzylorda, Aktobe"
Small Aral Sea,3300,Kyzylorda
Alakol,2200,"Almaty, East Kazakhstan region"
Zaysan,1810,East_Kazakhstan
Tengiz,1590,Akmola
Seltyteniz,750,North_Kazakhstan
Sasykkol,736,"Almaty, East Kazakhstan region"
Kusmuryn,460,Kostanay
Markol,455,East_Kazakhstan
Sarykopa,336,Kostanay
Kurgaldzhin,330,Akmola
Shaglutenize,267,North_Kazakhstan
Ulken-Kara,306,North_Kazakhstan
Teke,257,North_Kazakhstan
Shalkar,206,West_Kazakhstan
Kamystybas,178,Kyzylorda
Kyzylkak,175,Pavlodar
Sluts,171,Pavlodar
Karasor,155,Karaganda
Arys,124,Kyzylorda
Aralor,124,West_Kazakhstan
Ulyales,120,"Almaty, East Kazakhstan region"
Indder,110,Atyrau
Kishi-karai,101,North_Kazakhstan
Koibagar,95.95,Kostanay
Kalibek,95.61,Kokshetau
Zhaltyr,92.8,Gurievskaya
Sarykopa,89.1,Kostanay
Biylekol,86.5,Zhambyl
Shureksor,80.94,Pavlodar
Big Azhbulat,80.25,Pavlodar
Karasor,75.55,Kokshetau
Karacoin,75.3,Zhezkazgan
Ashchikol,74.23,Kyzylorda
Teniz,64.2,Kostanay
Akkol,62.26,Kostanay
Ashchikol,60.5,Zhambyl
Zharman,56.91,Kostanay
Zhaksykylysh,59.7,Kyzylorda
Aralsor,57.86,Ural
Itemman,56.22-57.4,Akmola
Akkol,56,Zhambyl
Maraldy,54.75,Pavlodar
Kalmakkol,53.14,Kokshetau
Tontyger,52-54.3,Kostanay
Kak,52.24,North Kazakhstan
